Streckennummer;Richtung;km_von_l;km_bis_l;km_von_i;km_bis_i;km_von_km;km_von_m;km_bis_km;km_bis_m;Streckenkurzname;Bezeichnung;Straßenart;Technische Sicherung;Bundesland;Kreis;GK Rechtswert (EPSG 31467);GK Hochwert (EPSG 31467);Geographische Länge (EPSG 4326);Geographische Breite (EPSG 4326);UTM Rechtswert (EPSG 25832);UTM Hochwert (EPSG 25832);WKT GK (EPSG 31467);WKT WGS84 (EPSG 4326);WKT UTM 32N (EPSG 25832)
1000;Streckenachse;173,1 + 7,395;173,1 + 13,910;117310007,395;117310013,91;173,1;7,395;173,1;13,91;Flensburg-Weiche - Flensb. Gr;km 173,113;sonstige Straßen und Wege mit Fahrverkehr;Lichtzeichenanlage mit Halbschranke;Schleswig-Holstein;Kreisfreie Stadt Flensburg;3525800,878;6070132,635;9,3997066862;54,7598839426;525721,045;6068145,354;POINT (3525800.877668001 6070132.6352652125);POINT (9.399736092819557 54.75988005087843);POINT (525721.0452488458 6068145.353674683)
1000;Streckenachse;177,3 + 56,106;177,3 + 63,983;117730056,106;117730063,983;177,3;56,106;177,3;63,983;Flensburg-Weiche - Flensb. Gr;km 177,360;andere Straßen und Wege mit allgemeinem Kraftfahrzeugverkehr;Lichtzeichenanlage mit Halbschranke;Schleswig-Holstein;Kreis Schleswig-Flensburg;3524170,292;6073979,366;9,3746977629;54,7945200285;524091,144;6071990,57;POINT (3524170.2921723444 6073979.365623637);POINT (9.37472788536585 54.794516362886874);POINT (524091.1435483949 6071990.570191632)
1000;Streckenachse;178,4 + 29,317;178,4 + 40,082;117840029,317;117840040,082;178,4;29,317;178,4;40,082;Flensburg-Weiche - Flensb. Gr;km 178,436;Kreisstraßen einschließlich der Ortsdurchfahrten;Lichtzeichenanlage mit Halbschranke;Schleswig-Holstein;Kreis Schleswig-Flensburg;3523831,964;6074999,457;9,3695215738;54,8036996216;523752,96;6073010,259;POINT (3523831.9642421105 6074999.456708719);POINT (9.369551901901465 54.80369600360198);POINT (523752.9595540329 6073010.258970617)
1000;Streckenachse;179,1 + 11,404;179,1 + 15,029;117910011,404;117910015,029;179,1;11,404;179,1;15,029;Flensburg-Weiche - Flensb. Gr;km 179,113;sonstige Straßen und Wege mit Fahrverkehr;NichtTechnischGesichert mit Übersicht;Schleswig-Holstein;Kreis Schleswig-Flensburg;3523618,266;6075643,495;9,366250904;54,8094950775;523539,352;6073654,043;POINT (3523618.2658002647 6075643.495031018);POINT (9.366281367201863 54.80949148890795);POINT (523539.3520233394 6073654.04329921)
1000;Streckenachse;179,5 + 49,898;179,5 + 55,530;117950049,898;117950055,53;179,5;49,898;179,5;55,53;Flensburg-Weiche - Flensb. Gr;km 179,552;sonstige Straßen und Wege mit Fahrverkehr;NichtTechnischGesichert mit Übersicht;Schleswig-Holstein;Kreis Schleswig-Flensburg;3523479,811;6076060,648;9,3641313403;54,8132488303;523400,956;6074071,032;POINT (3523479.8112835023 6076060.647931126);POINT (9.364161890645816 54.81324526085654);POINT (523400.956406277 6074071.031685489)
1011;Streckenachse;1,1 + 83,738;1,1 + 87,952;100110083,738;100110087,952;1,1;83,738;1,1;87,952;Jübek - Husum;Km 1,182;sonstige Straßen und Wege mit Fahrverkehr;NichtTechnischGesichert mit Übersicht und Pfeifen;Schleswig-Holstein;Kreis Schleswig-Flensburg;3525190,409;6048389,277;9,3883533296;54,5645911493;525110,618;6046410,645;POINT (3525190.409214267 6048389.277131606);POINT (9.388378471702422 54.56458711371673);POINT (525110.6181994075 6046410.644870948)
1011;Streckenachse;1,9 + 30,335;1,9 + 38,280;100190030,335;100190038,28;1,9;30,335;1,9;38,28;Jübek - Husum;Km 1,933;sonstige Straßen und Wege mit Fahrverkehr;NichtTechnischGesichert mit Übersicht und Pfeifen;Schleswig-Holstein;Kreis Schleswig-Flensburg;3524471,37;6048182,333;9,377220387;54,5627673311;524391,863;6046203,79;POINT (3524471.370069908 6048182.33323317);POINT (9.37724547738046 54.562763377231036);POINT (524391.8630100574 6046203.789886135)
1011;Streckenachse;2,4 + 70,447;2,4 + 74,597;100240070,447;100240074,597;2,4;70,447;2,4;74,597;Jübek - Husum;Km 2,471;sonstige Straßen und Wege mit Fahrverkehr;NichtTechnischGesichert mit Übersicht und Pfeifen;Schleswig-Holstein;Kreis Schleswig-Flensburg;3523955,466;6048028,975;9,3692328084;54,5614143024;523876,162;6046050,497;POINT (3523955.4656067844 6048028.974550832);POINT (9.369257860978703 54.56141040684084);POINT (523876.16223742184 6046050.496936362)
1011;Streckenachse;4,1 + 15,983;4,1 + 26,798;100410015,983;100410026,798;4,1;15,983;4,1;26,798;Jübek - Husum;Km 4,118;Kreisstraßen einschließlich der Ortsdurchfahrten;Lichtzeichenanlage mit Halbschranke;Schleswig-Holstein;Kreis Schleswig-Flensburg;3522374,921;6047559,23;9,3447650457;54,5572666407;522296,242;6045580,954;POINT (3522374.9210682735 6047559.230022917);POINT (9.34478998337333 54.55726292278537);POINT (522296.24173484714 6045580.953744382)
1011;Streckenachse;4,4 + 21,871;4,4 + 35,581;100440021,871;100440035,581;4,4;21,871;4,4;35,581;Jübek - Husum;Km 4,428;Landesstraßen einschließlich der Ortsdurchfahrten;Lichtzeichenanlage mit Halbschranke;Schleswig-Holstein;Kreis Schleswig-Flensburg;3522080,32;6047471,675;9,3402049974;54,5564930146;522001,757;6045493,436;POINT (3522080.3201940516 6047471.674851896);POINT (9.340229913768649 54.55648932965743);POINT (522001.7571761473 6045493.436098744)
