Streckennummer;Richtung;km_von_l;km_bis_l;km_von_i;km_bis_i;km_von_km;km_von_m;km_bis_km;km_bis_m;Länge;Streckenkurzname;Bezeichnung;Kreuzungsart;Bundesland;Kreis;WKT GK (EPSG 31467);WKT WGS84 (EPSG 4326);WKT UTM 32N (EPSG 25832)
1000;Streckenachse;172,9 + 77,580;172,9 + 88,481;117290077,58;117290088,481;172,9;77,58;172,9;88,481;14;Flensburg-Weiche - Flensb. Gr;EÜ L 17 Ochsenweg;EÜ über Landstraße I. Ordnung/Staatstraße;Schleswig-Holstein;Kreisfreie Stadt Flensburg;MULTILINESTRING ((3525730.518001017 6070019.358404365,3525737.4986647908 6070027.830834424));MULTILINESTRING ((9.398633125775962 54.75886609583754,9.398742307933079 54.75894184588182));MULTILINESTRING ((525650.7124965418 6068032.122492564,525657.6904643271 6068040.591490184))
1002;Streckenachse;173,9 + 41,818;173,9 + 56,457;117390041,818;117390056,457;173,9;41,818;173,9;56,457;47;Flensburg Weiche - DB-Grenze;KRBW ü. Str 1040;EÜ über DBAG-Gleise;Schleswig-Holstein;Kreisfreie Stadt Flensburg;MULTILINESTRING ((3526504.934251767 6070601.880171793,3526507.455570957 6070604.839283755,3526513.1670697113 6070611.598281536,3526514.3891097773 6070613.057160913));MULTILINESTRING ((9.410715362717255 54.76405859569345,9.410754801726243 54.76408504420383,9.410844147483422 54.76414545851309,9.410863265219266 54.76415849905089));MULTILINESTRING ((526424.8263466919 6068614.405528563,526427.3466912075 6068617.363440917,526433.0559825666 6068624.1196990805,526434.2775504533 6068625.57798723))
1005;Streckenachse;2,8 + 59,342;2,9 + 24,563;100280059,342;100290024,563;2,8;59,342;2,9;24,563;66,7;Flensburg - Abzw Friedensweg;EÜ B 200;EÜ über Bundesstraße;Schleswig-Holstein;Kreisfreie Stadt Flensburg;MULTILINESTRING ((3527586.829307977 6070593.951899726,3527523.186772825 6070608.236489098));MULTILINESTRING ((9.42752188602711 54.76392909191838,9.426534554546102 54.764060902832185));MULTILINESTRING ((527506.291306887 6068606.470360315,527442.6742005885 6068620.749862959))
1005;Streckenachse;3,5 + 9,697;3,5 + 29,464;100350009,697;100350029,464;3,5;9,697;3,5;29,464;22;Flensburg - Abzw Friedensweg;EÜ K 126 (Husumer Straße);EÜ über Landstraße II. Ordnung/Kreisstraße;Schleswig-Holstein;Kreisfreie Stadt Flensburg;MULTILINESTRING ((3526946.867372931 6070684.210983476,3526946.682451328 6070684.186737588,3526945.6909516007 6070684.056737679,3526944.699951873 6070683.92573777,3526943.708452146 6070683.79423786,3526942.7169524184 6070683.662737953,3526941.725952691 6070683.530238044,3526940.7349529634 6070683.3977381345,3526939.743453236 6070683.264738222,3526938.752453508 6070683.131238317,3526937.7614537803 6070682.997738404,3526936.770454053 6070682.863238501,3526935.7794543253 6070682.729238588,3526934.788954597 6070682.594238679,3526933.7979548695 6070682.459238773,3526932.806955142 6070682.323738865,3526931.8164554145 6070682.188238955,3526930.8254556865 6070682.052739051,3526929.834955958 6070681.916239144,3526928.8444562308 6070681.780239234,3526927.853456503 6070681.643739325,3526927.276933952 6070681.563998232));MULTILINESTRING ((9.417588457313634 54.76477464403659,9.417585582246566 54.76477443616259,9.417570166913427 54.76477332159704,9.417554759255973 54.76477219801976,9.417539343785304 54.76477106997583,9.417523928315475 54.76476994192998,9.41750852052136 54.76476880487237,9.417493112728101 54.76476766781275,9.417477697121639 54.764766526286515,9.417462289237294 54.764765380240085,9.417446881353818 54.764764234191624,9.417431473378429 54.76476307915832,9.417416065450288 54.76476192861444,9.417400665197889 54.764760769058846,9.41738525717871 54.76475960952815,9.417369849114026 54.76475844550399,9.417354448817875 54.76475728145104,9.417339040754928 54.76475611742301,9.417323640367755 54.764754944383185,9.417308240027852 54.76475377583288,9.417292831874786 54.76475260281595,9.417283868019913 54.764751917428136));MULTILINESTRING ((526866.5845769603 6068696.6995114405,526866.3997286329 6068696.675276909,526865.4086217905 6068696.54533788,526864.4180147402 6068696.414399244,526863.4269078836 6068696.282960812,526862.4358010275 6068696.15152238,526861.4451939629 6068696.019084341,526860.4545868979 6068695.8866463,526859.4634800276 6068695.753708464,526858.4728729537 6068695.620270824,526857.4822658799 6068695.486833181,526856.4916587964 6068695.352395941,526855.5010517181 6068695.218458495,526854.510944431 6068695.083521445,526853.5203373431 6068694.948584401,526852.5297302505 6068694.813147555,526851.5396229593 6068694.677710704,526850.5490158667 6068694.54227386,526849.5589085656 6068694.405837407,526848.5688012696 6068694.269900755,526847.5781941675 6068694.133464306,526847.0019000267 6068694.053760259))
1011;Streckenachse;4,6 + 49,993;4,6 + 66,935;100460049,993;100460066,935;4,6;49,993;4,6;66,935;17;Jübek - Husum;EÜ Treene;EÜ über anderen Wasserlauf;Schleswig-Holstein;Kreis Schleswig-Flensburg;MULTILINESTRING ((3521868.2274962245 6047408.619169673,3521851.9880116177 6047403.790925317));MULTILINESTRING ((9.336947077041376 54.55593209171675,9.336695720910052 54.555889419672674));MULTILINESTRING ((521789.74821746204 6045430.407440678,521773.51514458196 6045425.581265575))
1011;Streckenachse;8,3 + 2,502;8,3 + 4,221;100830002,502;100830004,221;8,3;2,502;8,3;4,221;3;Jübek - Husum;EÜ Grumsholmerbek;EÜ über Graben/Flutöffn. zeitw. Wasser;Schleswig-Holstein;Kreis Nordfriesland;MULTILINESTRING ((3518790.2796436953 6045512.739267781,3518788.910046555 6045511.700432139));MULTILINESTRING ((9.289253048074192 54.53902433532685,9.289231821923181 54.539015053878074));MULTILINESTRING ((518713.0065914521 6043535.309636815,518711.63752926013 6043534.271226791))
1011;Streckenachse;24,9 + 68,780;24,9 + 75,009;102490068,78;102490075,009;24,9;68,78;24,9;75,009;5;Jübek - Husum;EÜ Mühlenau;EÜ über anderen Wasserlauf;Schleswig-Holstein;Kreis Nordfriesland;MULTILINESTRING ((3504794.706721178 6038498.54348792,3504791.481026785 6038494.443492995,3504790.856441758 6038493.647223092));MULTILINESTRING ((9.072908947676595 54.47633824999454,9.07285912058451 54.47630144781728,9.07284947263141 54.47629430035737));MULTILINESTRING ((504722.93358117546 6036524.030762341,504719.7091318101 6036519.932426921,504719.08478783385 6036519.136479297))
1020;Streckenachse;3,6 + 71,675;3,7 + 33,621;100360071,675;100370033,621;3,6;71,675;3,7;33,621;71;Kiel-Hassee C. - Flensburg;EÜ BAB A215;EÜ über Autobahn;Schleswig-Holstein;Kreisfreie Stadt Kiel;MULTILINESTRING ((3571363.8104860396 6021100.331976724,3571352.87460008 6021126.4809791045,3571339.7949267933 6021157.432026901));MULTILINESTRING ((10.095528550782497 54.315072541718806,10.095366790234579 54.31530894537711,10.095173239575027 54.31558878123099));MULTILINESTRING ((571265.4035603174 6019132.122632305,571254.4722696315 6019158.261335162,571241.3980894026 6019189.200193285))
1020;Streckenachse;6,4 + 73,014;6,4 + 93,411;100640073,014;100640093,411;6,4;73,014;6,4;93,411;19;Kiel-Hassee C. - Flensburg;EÜ Eichkoppelweg;EÜ über andere Straße/Weg KFZ-Verkehr;Schleswig-Holstein;Kreis Rendsburg-Eckernförde;MULTILINESTRING ((3570558.949380372 6023674.817825801,3570565.866272991 6023694.005843378));MULTILINESTRING ((10.083772105467734 54.33830898788749,10.083882970164147 54.33848038263657));MULTILINESTRING ((570460.886749491 6021705.591916451,570467.8010706936 6021724.77223645))
1020;Streckenachse;6,9 + 12,147;6,9 + 26,160;100690012,147;100690026,16;6,9;12,147;6,9;26,16;4;Kiel-Hassee C. - Flensburg;EÜ Rad u. Fussweg;EÜ über Rad-/Fußweg;Schleswig-Holstein;Kreis Rendsburg-Eckernförde;MULTILINESTRING ((3570707.8757996797 6024087.918464259,3570712.628289464 6024101.10069904));MULTILINESTRING ((10.08615931192605 54.34199893540126,10.086235498643013 54.342116682482086));MULTILINESTRING ((570609.7578041869 6022118.526833036,570614.5085272039 6022131.703779558))
